Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40
order;psychopy_order;image;correctAns;respModal;keyResp_keys;key1;key2;key3;key4;key5;key6;key7;key8;key9;key10;key11;key12;key13;key14;key15;correct;incorrect_correct;subjResponse;frameColor;repSwitch;sequence;target;set;stimulus;keyResp.started;micResp.started;micResp.clip;keyResp.stopped;participant;session;date;expName;psychopyVersion;str_sub(keyResp_rt, start = 1, end = -1)
196;195;REPSWITCH1/PICTURE_338.png;regalo;type;['r', 'e', 'g', 'a', 'l', 'o'];0.8211396997794509;0.9967385996133089;11.727.210.991.084.500;15.567.317.996.174.000;17.007.635.990.157.700;1.7967299995943904];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;regalo;darkblue;filler;1;F;1;Stim6_Set4;1,10E+16;1,46E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h45.53.341.wav;1,11E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.8211396997794509, 0.9967385996133089, 1.1727210991084576, 1.5567317996174097, 1.7007635990157723, 1.7967299995943904]
197;196;REPSWITCH1/PICTURE_719.png;baño;type;['b', 'a', 'ñ', 'p', 'backspace', 'o'];11.600.629.994.645.700;14.482.554.998.248.800;18.962.979.996.576.900;20.562.820.993.363.800;2.375.826.499.424.870;2.6004815995693207];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;baño;darkblue;filler;1;F;1;Stim2_Set4;1,11E+15;1,59E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h45.57.935.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.1600629994645715, 1.4482554998248816, 1.8962979996576905, 2.0562820993363857, 2.375826499424875, 2.6004815995693207]
201;200;REPSWITCH1/PICTURE_169.png;espalda;type;['e', 's', 'p', 'l', 'a', 'd', 'a', 'backspace'];0.9821928991004825;11.581.845.991.313.400;13.341.890.992.596.700;16.698.519.997.298.700;21.979.418.992.996.200;240.640.729.945.153;2.581.898.399.628.690;2.933733099140227];NA;NA;NA;NA;NA;NA;NA;;;esplad;darkblue;switch;1;T;1;Stim8_Set1;1,13E+16;1,24E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h46.16.360.wav;1,13E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9821928991004825, 1.1581845991313457, 1.3341890992596745, 1.6698519997298717, 2.1979418992996216, 2.40640729945153, 2.581898399628699, 2.933733099140227]
203;202;REPSWITCH1/PICTURE_178.png;puente;type;['p', 'u', 'e', 'n', 't', 'e'];118.998.449.947.685;14.136.396.991.088.900;15.575.988.991.186.000;16.536.410.991.102.400;17.496.137.991.547.500;2.101423599757254];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;puente;darkblue;nontarget;1;NT;1;Stim1_Set1;1,13E+15;1,38E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h46.25.531.wav;1,14E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.18998449947685, 1.4136396991088986, 1.5575988991186023, 1.6536410991102457, 1.7496137991547585, 2.101423599757254]
206;205;REPSWITCH1/PICTURE_128.png;muñeca;type;['m', 'u', 'ñ', 'c', 'backspace', 'e', 'c'];10.924.570.001.661.700;1.252.480.300.143.360;19.404.804.995.283.400;2.308.533.299.714.320;2.564.956.800.080.830;26.444.597.002.118.800;2.820.883.000.269.530;2.9808956999331713];NA;NA;NA;NA;NA;NA;NA;;;muñeca;darkblue;switch;1;T;1;Stim4_Set1;1,15E+16;1,43E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h46.39.484.wav;1,15E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.0924570001661777, 1.252480300143361, 1.9404804995283484, 2.308533299714327, 2.564956800080836, 2.6444597002118826, 2.820883000269532, 2.9808956999331713]
207;206;REPSWITCH1/PICTURE_319.png;vaca;type;['v', 'a', 'c', 'a'];0.9131743991747499;11.847.376.991.063.300;14.892.259.994.521.700;1.6652504997327924];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;vaca;darkblue;filler;1;F;1;Stim1_Set4;1,15E+16;1,32E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h46.44.086.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9131743991747499, 1.1847376991063356, 1.4892259994521737, 1.6652504997327924]
209;208;REPSWITCH1/PICTURE_142.png;vaso;type;['v', 'a', 's', 'o'];0.9461444988846779;1.218.755.398.876.960;13.940.613.996.237.500;1.4580326993018389];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;vaso;darkblue;nontarget;1;NT;1;Stim2_Set1;1,16E+16;1,24E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h46.53.215.wav;1,17E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9461444988846779, 1.218755398876965, 1.3940613996237516, 1.4580326993018389]
210;209;REPSWITCH1/PICTURE_142.png;vaso;type;['v', 'a', 's', 'o'];0.783259498886764;0.9757585991173983;1.119.772.999.547.420;1.1837726989760995];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;vaso;darkblue;repeat;1;T;1;Stim2_Set1;1,17E+16;1,23E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h46.57.775.wav;1,17E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.783259498886764, 0.9757585991173983, 1.119772999547422, 1.1837726989760995]
211;210;REPSWITCH1/PICTURE_8.png;pierna;type;['p', 'i', 'e', 'r', 'n', 'a'];11.152.290.999.889.300;130.697.609.949.857;13.549.774.000.421.100;15.148.806.003.853.600;16.268.830.997.869.300;2.0593143003061414];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;pierna;darkblue;filler;1;F;1;Stim3_Set4;1,17E+16;1,31E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h47.02.389.wav;1,17E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.1152290999889374, 1.30697609949857, 1.3549774000421166, 1.5148806003853679, 1.6268830997869372, 2.0593143003061414]
213;212;REPSWITCH1/PICTURE_135.png;traje;type;['t', 'r', 'a', 'k', 'backspace', 'j', 'e'];13.131.978.996.098.000;1.457.349.899.224.930;16.653.486.993.163.800;17.609.479.995.444.400;20.966.670.997.440.800;2.624.945.499.934.250;2.7209530994296074];NA;NA;NA;NA;NA;NA;NA;NA;;;traje;darkblue;nontarget;1;NT;1;Stim3_Set1;1,18E+16;1,30E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h47.11.648.wav;1,18E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.3131978996098042, 1.457349899224937, 1.6653486993163824, 1.7609479995444417, 2.0966670997440815, 2.624945499934256, 2.7209530994296074]
214;213;REPSWITCH1/PICTURE_135.png;traje;type;['t', 'r', 'a', 'j', 'e'];0.8119575995951891;0.9558570990338922;1.164.224.999.025.460;1.404.217.499.308.280;1.5162125993520021];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;traje;darkblue;repeat;1;T;1;Stim3_Set1;1,19E+16;1,28E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h47.16.347.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.8119575995951891, 0.9558570990338922, 1.164224999025464, 1.404217499308288, 1.5162125993520021]
215;214;REPSWITCH1/PICTURE_19.png;pavo;type;['p', 'a', 'v', 'o'];11.481.116.991.490.100;12.280.639.987.438.900;14.516.728.995.367.800;1.5316937994211912];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;pavo;darkblue;nontarget;1;NT;1;Stim5_Set1;1,19E+16;1,73E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h47.20.886.wav;1,19E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.1481116991490126, 1.2280639987438917, 1.4516728995367885, 1.5316937994211912]
217;216;REPSWITCH1/PICTURE_446.png;cerdo;type;['v', 'backspace', 'c', 'e', 'r', 'd', 'o'];0.8996502999216318;1.379.657.399.840.650;14.756.471.998.989.500;16.676.166.001.707.300;18.276.097.998.023.000;19.715.136.997.401.700;2.0196083998307586];NA;NA;NA;NA;NA;NA;NA;NA;;;cerdo;darkblue;nontarget;1;NT;2;Stim7_Set2;1,20E+16;1,38E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h47.30.206.wav;1,20E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.8996502999216318, 1.379657399840653, 1.4756471998989582, 1.6676166001707315, 1.8276097998023033, 1.9715136997401714, 2.0196083998307586]
218;217;REPSWITCH1/PICTURE_446.png;cerdo;type;['c', 'e', 'r', 'd', 'o'];10.172.338.001.430.000;11.939.094.001.427.200;13.535.853.996.872.900;14.975.635.996.088.300;1.561558099463582];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;cerdo;darkblue;repeat;1;T;2;Stim7_Set2;1,20E+15;1,40E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h47.34.831.wav;1,21E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.0172338001430035, 1.1939094001427293, 1.3535853996872902, 1.4975635996088386, 1.561558099463582]
221;220;REPSWITCH1/PICTURE_552.png;manzana;type;['m', 'a', 'n', 'z', 'a', 'n', 'a'];0.9793344000354409;1.123.317.999.765.270;12.043.079.994.618.800;12.824.959.000.572.500;144.248.849.991.709;1.666.491.899.639.360;1.7464876994490623];NA;NA;NA;NA;NA;NA;NA;NA;;;manzana;darkblue;nontarget;1;NT;2;Stim6_Set2;1,22E+15;1,56E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h47.48.798.wav;1,22E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9793344000354409, 1.123317999765277, 1.2043079994618893, 1.2824959000572562, 1.44248849991709, 1.666491899639368, 1.7464876994490623]
222;221;REPSWITCH1/PICTURE_552.png;manzana;type;['m', 'a', 'n', 'z', 'a', 'n', 'a'];0.9149444997310638;0.9789436003193259;11.069.555.999.711.100;11.709.550.004.452.400;13.646.039.003.506.300;1.490.978.599.525.980;1.586944899521768];NA;NA;NA;NA;NA;NA;NA;NA;;;manzana;darkblue;repeat;1;T;2;Stim6_Set2;1,22E+16;1,52E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h47.53.437.wav;1,23E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9149444997310638, 0.9789436003193259, 1.1069555999711156, 1.1709550004452467, 1.3646039003506303, 1.490978599525988, 1.586944899521768]
223;222;REPSWITCH1/PICTURE_517.png;cuerda;type;['c', 'u', 'e', 'r', 'd', 'a'];0.9698618995025754;1.050.208.699.889.480;11.620.274.996.384.900;13.209.636.993.706.200;14.976.532.999.426.100;1.6732698995620012];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;cuerda;darkblue;nontarget;1;NT;2;Stim4_Set2;1,23E+16;1,43E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h47.57.998.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9698618995025754, 1.050208699889481, 1.1620274996384978, 1.3209636993706226, 1.4976532999426126, 1.6732698995620012]
225;224;REPSWITCH1/PICTURE_169.png;espalda;type;['e', 's', 'p', 'a', 'l', 'd', 'a'];10.600.718.995.556.200;122.007.089.946.419;13.170.677.991.583.900;14.610.639.987.513.400;15.720.690.991.729.400;2.180.132.699.199.020;2.564119298942387];NA;NA;NA;NA;NA;NA;NA;NA;;;espalda;darkblue;filler;1;F;2;Stim8_Set1;1,24E+16;1,27E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h48.07.245.wav;1,24E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.0600718995556235, 1.22007089946419, 1.3170677991583943, 1.4610639987513423, 1.5720690991729498, 2.180132699199021, 2.564119298942387]
227;226;REPSWITCH1/PICTURE_30.png;granja;type;['g', 'r', 'a', 'n', 'j', 'a'];0.9190429989248514;10.950.515.996.664.700;13.030.481.990.426.700;14.310.389.989.987.000;1.607.039.399.445.050;1.7350987996906042];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;granja;darkblue;switch;1;T;2;Stim5_Set2;1,25E+16;1,96E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h48.16.587.wav;1,25E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9190429989248514, 1.0950515996664762, 1.3030481990426779, 1.4310389989987016, 1.607039399445057, 1.7350987996906042]
228;227;REPSWITCH1/PICTURE_199.png;falda;type;['f', 'a', 'l', 'd', 'a'];13.357.409.993.186.500;15.117.353.992.536.600;16.077.377.991.750.800;17.367.410.995.066.100;1.879734999500215];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;falda;darkblue;nontarget;1;NT;2;Stim8_Set2;1,25E+16;1,40E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h48.21.226.wav;1,25E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.3357409993186593, 1.5117353992536664, 1.6077377991750836, 1.7367410995066166, 1.879734999500215]
231;230;REPSWITCH1/PICTURE_128.png;muñeca;type;['m', 'u', 'n', 'ñ', 'e'];10.821.221.992.373.400;12.581.589.994.952.000;14.181.617.991.998.700;2.698.095.499.537.880;2.8580814991146326];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;munñe;darkblue;filler;1;F;2;Stim4_Set1;1,26E+16;1,45E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h48.35.245.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.0821221992373466, 1.2581589994952083, 1.4181617991998792, 2.698095499537885, 2.8580814991146326]
234;233;REPSWITCH1/PICTURE_142.png;vaso;type;['v', 'a', 's', 'o'];0.7329489989206195;0.9409352988004684;11.169.438.995.420.900;1.180935399606824];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;vaso;darkblue;filler;1;F;2;Stim2_Set1;1,28E+15;1,26E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h48.49.226.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.7329489989206195, 0.9409352988004684, 1.1169438995420933, 1.180935399606824]
238;237;REPSWITCH1/PICTURE_264.png;mano;type;['m', 'a', 'n', 'o'];0.8086775988340378;10.167.528.986.930.800;10.808.408.986.777.000;1.3045914992690086];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;mano;darkblue;switch;1;T;2;Stim3_Set2;1,30E+16;1,42E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h49.07.592.wav;1,30E+14;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.8086775988340378, 1.0167528986930847, 1.0808408986777067, 1.3045914992690086]
239;238;REPSWITCH1/PICTURE_135.png;traje;type;['t', 'r', 'a', 'j', 'e'];0.8689823988825083;10.289.739.994.332.100;1.204.984.799.027.440;1.444.972.099.736.330;1.557965399697423];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;traje;darkblue;filler;1;F;2;Stim3_Set1;1,30E+16;1,31E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h49.12.242.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.8689823988825083, 1.0289739994332194, 1.204984799027443, 1.444972099736333, 1.557965399697423]
241;240;REPSWITCH1/PICTURE_235.png;aguja;type;['a', 'g', 'u', 'j', 'a'];0.9992832997813821;13.031.572.001.054.800;13.999.933.004.379.200;15.592.783.000.320.100;1.686747300438583];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;aguja;darkblue;nontarget;1;NT;3;Stim4_Set3;1,31E+15;1,29E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h49.21.424.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9992832997813821, 1.3031572001054883, 1.3999933004379272, 1.5592783000320196, 1.686747300438583]
244;243;REPSWITCH1/PICTURE_552.png;manzana;type;['m', 'a', 'n', 'z', 'a', 'n', 'a'];0.8353421995416284;0.9953363994136453;10.909.445.993.602.200;1.314.921.399.578.450;14.912.080.997.601.100;15.870.640.994.980.900;1.6510637989267707];NA;NA;NA;NA;NA;NA;NA;NA;;;manzana;darkblue;filler;1;F;3;Stim6_Set2;1,32E+15;1,53E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h49.35.422.wav;1,33E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.8353421995416284, 0.9953363994136453, 1.0909445993602276, 1.314921399578452, 1.4912080997601151, 1.5870640994980931, 1.6510637989267707]
246;245;REPSWITCH1/PICTURE_271.png;conejo;type;['c', 'o', 'n', 'e', 'j', 'o'];0.9909305991604924;1.102.862.199.768.420;1.262.844.399.549.060;13.428.439.991.548.600;1.534.812.499.769.030;1.6945816995576024];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;conejo;darkblue;switch;1;T;3;Stim7_Set3;1,33E+16;1,62E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h49.44.610.wav;1,34E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9909305991604924, 1.102862199768424, 1.262844399549067, 1.3428439991548657, 1.534812499769032, 1.6945816995576024]
247;246;REPSWITCH1/PICTURE_610.png;miel;type;['m', 'i', 'e', 'l'];0.9549802001565695;1.114.982.900.209.720;12.439.892.003.312.700;1.3869767999276519];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;miel;darkblue;nontarget;1;NT;3;Stim2_Set3;1,34E+16;1,40E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h49.49.212.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9549802001565695, 1.114982900209725, 1.2439892003312707, 1.3869767999276519]
249;248;REPSWITCH1/PICTURE_517.png;cuerda;type;['c', 'u', 'e', 'r', 'd', 'a'];0.983105399645865;10.470.995.996.147.300;1.191.224.099.136.880;13.512.221.993.878.400;15.112.216.994.166.300;1.6712193991988897];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;cuerda;darkblue;filler;1;F;3;Stim4_Set2;1,35E+16;1,42E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h49.58.522.wav;1,35E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.983105399645865, 1.0470995996147394, 1.191224099136889, 1.3512221993878484, 1.5112216994166374, 1.6712193991988897]
252;251;REPSWITCH1/PICTURE_30.png;granja;type;['g', 'r', 'a', 'n', 'j', 'a'];13.037.973.986.938.500;1.463.799.599.558.110;16.557.567.995.041.600;1.783.789.198.845.620;18.789.805.993.437.700;1.9588681990280747];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;granja;darkblue;filler;1;F;3;Stim5_Set2;1,36E+15;2,09E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h50.12.519.wav;1,36E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.3037973986938596, 1.463799599558115, 1.6557567995041609, 1.783789198845625, 1.8789805993437767, 1.9588681990280747]
254;253;REPSWITCH1/PICTURE_152.png;caracol;type;['c', 'a', 'r', 'a', 'c', 'i', 'backspace', 'o', 'l'];0.8655254999175668;10.736.471.991.986.000;12.976.428.996.771.500;14.896.508.995.443.500;16.656.040.996.313.000;17.626.337.995.752.600;21.929.480.992.257.500;23.699.560.994.282.300;2.5449214996770024];NA;NA;NA;NA;NA;NA;;;caracol;darkblue;filler;1;F;3;Stim2_Set2;1,37E+16;1,50E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h50.21.712.wav;1,37E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.8655254999175668, 1.0736471991986036, 1.2976428996771574, 1.4896508995443583, 1.6656040996313095, 1.7626337995752692, 2.1929480992257595, 2.3699560994282365, 2.5449214996770024]
258;257;REPSWITCH1/PICTURE_35.png;oreja;type;['o', 'r', 'e', 'j', 'a'];16.940.564.000.979.000;18.387.690.000.236.000;19.821.988.996.118.300;2.110.160.400.159.650;2.238709599711001];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;oreja;darkblue;switch;1;T;3;Stim5_Set3;1,39E+16;1,35E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h50.40.130.wav;1,39E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.6940564000979066, 1.8387690000236034, 1.9821988996118307, 2.110160400159657, 2.238709599711001]
259;258;REPSWITCH1/PICTURE_242.png;cartero;type;['c', 'a', 'r', 't', 'e', 'r', 'o'];0.9868284994736314;12.109.806.993.976.200;1.434.974.099.509.410;15.789.743.000.641.400;17.391.968.993.470.000;18.670.970.993.116.400;1.9311317997053266];NA;NA;NA;NA;NA;NA;NA;NA;;;cartero;darkblue;nontarget;1;NT;3;Stim3_Set3;1,39E+16;1,40E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h50.44.732.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9868284994736314, 1.2109806993976235, 1.434974099509418, 1.5789743000641465, 1.7391968993470073, 1.8670970993116498, 1.9311317997053266]
260;259;REPSWITCH1/PICTURE_242.png;cartero;type;['i', 'r', 'e', 'j', 'a'];12.544.683.991.000.000;1.334.269.898.943.600;15.102.982.996.031.600;17.343.466.989.696.000;1.84634539950639];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;ireja;darkblue;repeat;1;T;3;Stim3_Set3;1,40E+15;1,41E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h50.49.402.wav;1,40E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.2544683991000056, 1.334269898943603, 1.5102982996031642, 1.7343466989696026, 1.84634539950639]
262;261;REPSWITCH1/PICTURE_576.png;guante;type;['g', 'u', 'y', 'n', 'a', 't', 'e', 'backspace', 'backspace'];11.309.118.997.305.600;12.429.230.995.476.200;12.589.522.991.329.400;13.863.553.991.541.200;14.183.484.995.737.600;16.743.549.993.261.600;18.663.142.994.046.200;20.908.940.993.249.400;2.779082898981869];NA;NA;NA;NA;NA;NA;;;guyna;darkblue;nontarget;1;NT;3;Stim1_Set3;1,41E+16;1,31E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h50.58.806.wav;1,41E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.1309118997305632, 1.2429230995476246, 1.2589522991329432, 1.3863553991541266, 1.4183484995737672, 1.6743549993261695, 1.8663142994046211, 2.0908940993249416, 2.779082898981869]
