order;psychopy_order;image;correctAns;respModal;keyResp_keys;keyResp_rt;subjResponse;frameColor;repSwitch;sequence;target;set;stimulus;keyResp.started;micResp.started;micResp.clip;keyResp.stopped;participant;session;date;expName;psychopyVersion
181;180;REPSWITCH1/PICTURE_576.png;guante;speak;None;;;gold;filler;2;F;4;Stim1_Set3;9,59E+15;1,29E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h43.29.676.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
183;182;REPSWITCH1/PICTURE_48.png;bombero;speak;None;;;gold;switch;2;T;4;Stim7_Set4;9,68E+15;1,38E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h43.38.857.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
184;183;REPSWITCH1/PICTURE_319.png;vaca;speak;None;;;gold;nontarget;2;NT;4;Stim1_Set4;9,73E+15;1,28E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h43.43.412.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
185;184;REPSWITCH1/PICTURE_319.png;vaca;speak;None;;;gold;repeat;2;T;4;Stim1_Set4;9,77E+15;1,24E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h43.47.989.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
187;186;REPSWITCH1/PICTURE_338.png;regalo;speak;None;;;gold;nontarget;2;NT;4;Stim6_Set4;9,87E+15;1,43E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h43.57.165.wav;9,90E+14;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
191;190;REPSWITCH1/PICTURE_35.png;oreja;speak;None;;;gold;filler;2;F;4;Stim5_Set3;1,01E+16;1,33E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h44.15.730.wav;1,01E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
193;192;REPSWITCH1/PICTURE_498.png;taza;speak;None;;;gold;filler;2;F;1;Stim4_Set4;1,09E+16;1,23E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h45.39.440.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
194;193;REPSWITCH1/PICTURE_142.png;vaso;speak;None;;;gold;nontarget;2;NT;1;Stim7_Set1;1,09E+15;1,24E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h45.44.103.wav;1,10E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
195;194;REPSWITCH1/PICTURE_142.png;vaso;speak;None;;;gold;repeat;2;T;1;Stim7_Set1;1,10E+16;1,28E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h45.48.711.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
198;197;REPSWITCH1/PICTURE_16.png;cazador;speak;None;;;gold;nontarget;2;NT;1;Stim6_Set1;1,11E+16;1,62E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h46.02.501.wav;1,11E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
199;198;REPSWITCH1/PICTURE_16.png;cazador;speak;None;;;gold;repeat;2;T;1;Stim6_Set1;1,12E+16;1,50E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h46.07.102.wav;1,12E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
200;199;REPSWITCH1/PICTURE_169.png;espalda;speak;None;;;gold;nontarget;2;NT;1;Stim8_Set1;1,12E+16;1,25E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h46.11.666.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
