"","Trial_no","CorrectAns","SubjResponse","Backspace","Item_correct","RespModal","KeyResp_keys","key1","key2","key3","key4","key5","key6","key7","key8","key9","key10","key11","key12","key13","key14","key15","RepSwitch","FrameColor","sequence","Target","set","block","list","exp_version","stimulus","baseline","baseline_condition","fixationITI.started","fixationITI.stopped","polygonColour.started","polygonWhite.started","imageObject.started","polygonType.started","textInput.started","keyResp.started","micRespv2l1.started","participant","session","date","psychopyVersion"
"34",34,"mano","mano","0","1","type","['m', 'a', 'n', 'o']",0.940363800153136,1.00419720006175,1.11615939997137,1.16556970006786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nontarget","gold",1,"NT",2,1,1,2,"Stim3_Set2",0,"None",232.217029000167,233.272691100137,233.272691100137,233.272691100137,233.272691100137,233.272691100137,233.272691100137,233.272691100137,233.272691100137,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"35",35,"mano","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"switch","darkblue",2,"T",2,1,1,2,"Stim3_Set2",0,"None",236.794020100031,237.863692700164,237.863692700164,237.863692700164,237.863692700164,237.863692700164,237.863692700164,237.863692700164,237.863692700164,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"36",36,"cuerda","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nontarget","darkblue",2,"NT",2,1,1,2,"Stim4_Set2",1,"repeat",241.39227479999,242.426634100033,242.426634100033,242.426634100033,242.426634100033,242.426634100033,242.426634100033,242.426634100033,242.426634100033,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"37",37,"cuerda","cuerda","0","1","type","['c', 'u', 'e', 'r', 'd', 'a']",0.935784099856392,1.07978149992414,1.17577770003118,1.30334869981743,1.43150780000724,1.49506059987471,NA,NA,NA,NA,NA,NA,NA,NA,NA,"switch","gold",1,"T",2,1,1,2,"Stim4_Set2",0,"None",245.955104500055,246.989743400132,246.989743400132,246.989743400132,246.989743400132,246.989743400132,246.989743400132,246.989743400132,246.989743400132,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"38",38,"traje","trajhe","0","0","type","['t', 'r', 'a', 'j', 'h', 'e']",1.11643690010533,1.26043180003762,1.32446720008738,1.56447320012376,1.59646210004576,1.67641740012914,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filler","gold",1,"F",2,1,1,2,"Stim3_Set1",0,"None",250.511075700168,251.608442900004,251.608442900004,251.608442900004,251.608442900004,251.608442900004,251.608442900004,251.608442900004,251.608442900004,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"39",39,"granja","granja","0","1","type","['g', 'r', 'a', 'n', 'j', 'a']",1.02286469982937,1.21484549995512,1.31087529985234,1.75887899985537,1.88626409997232,1.95023039984517,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nontarget","gold",1,"NT",2,1,1,2,"Stim5_Set2",1,"repeat",255.136684700148,256.150735400151,256.150735400151,256.150735400151,256.150735400151,256.150735400151,256.150735400151,256.150735400151,256.150735400151,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"40",40,"granja","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"switch","darkblue",2,"T",2,1,1,2,"Stim5_Set2",0,"None",259.677982000168,260.776467700023,260.776467700023,260.776467700023,260.776467700023,260.776467700023,260.776467700023,260.776467700023,260.776467700023,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"41",41,"vaso","vaso","0","1","type","['v', 'a', 's', 'o']",0.695306699955836,0.791304699843749,1.38266289979219,1.51068879989907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filler","gold",1,"F",2,1,1,2,"Stim7_Set1",0,"None",264.297847600188,265.374165800167,265.374165800167,265.374165800167,265.374165800167,265.374165800167,265.374165800167,265.374165800167,265.374165800167,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"42",42,"pavo","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filler","darkblue",2,"F",2,1,1,2,"Stim5_Set1",1,"switch",268.90157960006,269.984823300038,269.984823300038,269.984823300038,269.984823300038,269.984823300038,269.984823300038,269.984823300038,269.984823300038,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"43",43,"manzana","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nontarget","darkblue",2,"NT",2,1,1,2,"Stim6_Set2",1,"repeat",273.514490100089,274.604772800114,274.604772800114,274.604772800114,274.604772800114,274.604772800114,274.604772800114,274.604772800114,274.604772800114,201,1,"2023-10-06_09h41.18.571","2022.2.4"
