Filename;SubjResponse;RT;Duration (ms.);Modality_Correct;Item_Correct;Hesitation;Notes;Exclude;Column1
recording_V1L3_p130103_tr375_type_cartero;[type];0;3000;;;;;;
recording_V1L3_p130103_tr376_type_cartero;[type];0;3000;;;;;;
recording_V1L3_p130103_tr377_speak_mano;mano;696;445.474;;;;;;
recording_V1L3_p130103_tr378_type_guante;[type];0;3000;;;;;;
recording_V1L3_p130103_tr379_type_guante;[type];0;3000;;;;;;
recording_V1L3_p130103_tr37_type_caracol;[type];0;3000;;;;;;
recording_V1L3_p130103_tr380_speak_pintor;pintor;898.322;595.475;;;;;;
recording_V1L3_p130103_tr381_type_taza;[type];0;3000;;;;;;
recording_V1L3_p130103_tr382_type_taza;[type];0;3000;;;;;;
recording_V1L3_p130103_tr383_speak_aguja;aguja;647.726;584.274;;;;;;
recording_V1L3_p130103_tr384_type_regalo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr385_speak_regalo;regalo;684.944;627.056;;;;;;
recording_V1L3_p130103_tr386_speak_baño;baño;736;474.946;;;;;;
recording_V1L3_p130103_tr387_speak_baño;baño;640;480;;;;;;
recording_V1L3_p130103_tr388_type_conejo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr389_speak_miel;miel;912;380.824;;;;;;
recording_V1L3_p130103_tr38_speak_caracol;caracol;759.378;558.258;;;;;;
recording_V1L3_p130103_tr390_speak_camisa;camisa;724.642;540.89;;;;;;
recording_V1L3_p130103_tr391_type_camisa;[type];0;3000;;;;;;
recording_V1L3_p130103_tr392_type_vaca;[type];0;3000;;;;;;
recording_V1L3_p130103_tr393_speak_vaca;vaca;1040;399.212;;;;;;
recording_V1L3_p130103_tr394_type_goma;[type];0;3000;;;;;;
recording_V1L3_p130103_tr395_speak_pulpo;pulpo;968;386.853;;;;;;
recording_V1L3_p130103_tr396_speak_pulpo;pulpo;565.849;414.351;;;;;;
recording_V1L3_p130103_tr397_type_iglesia;[type];0;3000;;;;;;
recording_V1L3_p130103_tr398_speak_guante;guante;888.397;560.739;;;;;;
recording_V1L3_p130103_tr399_speak_pierna;pierna;752;429.173;;;;;;
recording_V1L3_p130103_tr39_type_cazador;[type];0;3000;;;;;;
recording_V1L3_p130103_tr3_speak_muñeca;muñeca;976;721.251;;;;;;
recording_V1L3_p130103_tr400_type_pierna;[type];0;3000;;;;;;
recording_V1L3_p130103_tr401_speak_tenedor;tenedor;688;520.465;;;;;;
recording_V1L3_p130103_tr402_type_oreja;[type];0;3000;;;;;;
