"","Response","Image","respModal","Target","RepSwitch","Accuracy","RT","Duration","Notes"
"77","bano","bano","speak","T","switch","1","0.87845600000000001","0.50797600000000009",NA
"78","miel","miel","type","F","filler","1","0,982","0,383",NA
"79","cartero","cartero","type","F","filler","1","0,827","1,008",NA
"80","pierna","pierna","speak","NT","nontarget","1","0.94150199999999995","0.52695600000000009",NA
"81","pierna","pierna","speak","T","repeat","1","0.66727899999999996","0.55111100000000013",NA
"82","taza","taza","speak","NT","nontarget","1","0.72","0.45670900000000003",NA
"83","taza","taza","type","T","switch","1","1,211","0,448",NA
"84","aguja","aguja","speak","F","filler","1","0.81095300000000003","0.68767599999999995",NA
"85","camisa","camisa","type","NT","nontarget","0","1,183","0,688","spoke initially, then typed"
"86","camisa","camisa","speak","T","switch","1","1.2079299999999999","0.63012000000000001",NA
"87","regalo","regalo","speak","NT","nontarget","1","0.94612600000000002","0.74433599999999989","mic sound - bad quality (58_209)"
"88","regalo","regalo","speak","T","repeat","1","0.85460599999999998","0.60066700000000006",NA
"89","oreja","oreja","type","F","filler","1","1,144","0,577",NA
"90","goma","goma","speak","F","filler","1","1.0938380000000001","0.57072999999999996","exhalation at the end of the word passing to the last silent part"
"91","conejo","conejo","type","F","filler","1","0,919","0,784",NA
"92","bombero","bombero","speak","NT","nontarget","1","1.4241969999999999","0.59236300000000019",NA
"93","bombero","bombero","type","T","switch","1","1,268","0,88",NA
"94","iglesia","iglesia","speak","F","filler","1","0.94193899999999997","0.63649900000000004",NA
"95","pulp","pulpo","type","NT","nontarget","0","1,221","1,76",NA
"96","pulpo","pulpo","type","T","repeat","1","1,121","0,895",NA
"97","NA","break","break","B","break","NA","NA","NA",NA
"98","muneca","muneca","speak","NT","nontarget","1","1.027955","0.63952200000000015",NA
"99","muneca","muneca","speak","T","repeat","1","0.62124500000000005","0.63436199999999987",NA
"100","pierna","pierna","type","F","filler","1","0,915","0,752",NA
"101","pulpo","pulpo","type","F","filler","1","0,941","0,977",NA
"102","traje","traje","speak","NT","nontarget","1","0.91766700000000001","0.41237400000000002",NA
"103","traje","traje","speak","T","repeat","1","0.50437900000000002","0.47079700000000002",NA
"104","cazador","cazador","speak","NT","nontarget","1","0.90248300000000004","0.56650299999999987",NA
"105","caxador","cazador","type","T","switch","0","0,879","1,648",NA
"106","taza","taza","speak","F","filler","1","0.872","0.39144100000000004",NA
"107","vaso","vaso","type","NT","nontarget","1","0,924","0,432",NA
"108","vaso","vaso","speak","T","switch","1","0.66653899999999999","0.41013100000000002",NA
"109","puente","puente","speak","NT","nontarget","1","0.73534900000000003","0.50682899999999997",NA
"110","puente","puente","type","T","switch","1","1,415","0,848","/ts/ sound - check accuracy - 56_778"
"111","bano","bano","speak","F","filler","1","0.84995799999999999","0.46261799999999997",NA
"112","espalda","espalda","type","NT","nontarget","0","1,11","1,248","corrected with backspace"
"113","elpalda","espalda","type","T","repeat","0","0,799","1,248",NA
"114","bombero","bombero","speak","F","filler","1","0.98574099999999998","0.59489600000000009",NA
"115","pavo","pavo","type","NT","nontarget","0","1,089","1,792","corrected with backspace"
"116","pavo","pavo","type","T","repeat","1","0,867","0,447",NA
"117","vaca","vaca","type","F","filler","1","0,962","0,56",NA
"118","regalo","regalo","speak","F","filler","1","0.64886900000000003","0.60303699999999993",NA
"119","vaso","vaso","type","NT","nontarget","1","0,843","0,481",NA
"120","vaso","vaso","speak","T","switch","1","0.68339499999999997","0.47065400000000013","exhalation at the end of the word passing to the last silent part (42_923)"
"121","camisa","camisa","type","F","filler","0","1,006","1,328","corrected with backspace"
"122","granja","granja","type","NT","nontarget","1","0,988","0,896",NA
"123","gran","granja","type","T","repeat","0","0,88","2,08",NA
"124","muneca","muneca","speak","F","filler","1","0.68591199999999997","0.64881899999999992",NA
"125","mano","mano","type","NT","nontarget","1","1,288","0,623",NA
"126","mano","mano","type","T","repeat","1","0,855","0,288",NA
"127","pintor","pintor","type","NT","nontarget","1","1,024","0,944",NA
"128","pintor","pintor","speak","T","switch","1","0.68388800000000005","0.56223000000000001",NA
"129","traje","traje","speak","F","filler","1","0.56000000000000005","0.49349200000000004","exhalation at the end of the word passing to the last silent part (24_508)"
"130","cerdo","cerdo","speak","NT","nontarget","1","0.64669200000000004","0.55420999999999987",NA
"131","cerdo","cerdo","type","T","switch","1","0,964","0,56",NA
"132","caracol","caracol","type","NT","nontarget","1","0,932","1,039",NA
"133","caracol","caracol","speak","T","switch","1","0.867039","0.62175299999999989",NA
"134","cazador","cazador","type","F","filler","1","0,903","1,248",NA
"135","vaso","vaso","type","F","filler","1","0,92","0,464",NA
"136","cuerda","cuerda","speak","NT","nontarget","1","1.060395","0.43819900000000001","mic sound - bad quality (56_783)"
"137","cuerda","cuerda","speak","T","repeat","1","0.48316100000000001","0.657308","mic sound - yawns while speaking (01_422)"
"138","punte","puente","type","F","filler","0","0,898","0,64",NA
"139","falda","falda","speak","NT","nontarget","1","0.94867299999999999","0.47940600000000011","weird sound quality (10_693)"
"140","falda","falda","speak","T","repeat","1","0.630247","0.49071500000000001","weird sound quality (15_357)"
"141","NR","espalda","speak","F","filler","0","NA","NA","type instead of speak"
"142","pavo","pavo","type","F","filler","1","0,908","0,464",NA
"143","vaso","vaso","speak","F","filler","1","0.72901199999999999","0.49227200000000004",NA
"144","manzana","manzana","speak","NT","nontarget","1","0.71529500000000001","0.65534999999999988",NA
"145","manzana","manzana","type","T","switch","1","0,945","0,704",NA
"146","grnaja","granja","speak","F","filler","1","0.76573599999999997","0.65440699999999996","weird sound quality (43_097)"
