image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,stimulus,order,psychopy_order,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textBlank500.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micResp.started,keyResp.keys,keyResp.corr,subjResponse,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,micResp.stopped,textBlank500.stopped,textboxPause.started,textboxPause.stopped,keyPause.started,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1/PICTURE_135.png,traje,speak,yellow,filler,2,F,2,Stim3_Set1,35,34,0,34,34,34,,186.152533599874,,,,,,,,,,,,,,,,,,,,,,182.05335309985094,183.15448449994437,183.15448449994437,183.15448449994437,183.15448449994437,183.15448449994437,183.15448449994437,183.15448449994437,0.0027944999746978283,None,0,,None,,,,,,,,186.6522414998617,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_30.png,granja,type,darkblue,nontarget,1,NT,2,Stim5_Set2,36,35,0,35,35,35,,190.7666664000135,,,,,,,,,,,,,,,,,,,,,,186.6522414998617,187.75321629992686,187.75321629992686,187.75321629992686,187.75321629992686,187.75321629992686,187.75321629992686,187.75321629992686,0.003643300151452422,None,0,,None,190.7666664000135,190.7666664000135,190.7666664000135,190.7666664000135,190.7666664000135,190.7666664000135,2.9995035000611097,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_30.png,granja,speak,yellow,switch,2,T,2,Stim5_Set2,37,36,0,36,36,36,,195.40035949996673,,,,,,,,,,,,,,,,,,,,,,191.26842149998993,192.40214679995552,192.40214679995552,192.40214679995552,192.40214679995552,192.40214679995552,192.40214679995552,192.40214679995552,0.00343000004068017,None,0,,None,195.40035949996673,195.40035949996673,195.40035949996673,195.40035949996673,195.40035949996673,195.40035949996673,2.999838300049305,195.90020979987457,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_128.png,muñeca,type,darkblue,filler,1,F,2,Stim4_Set1,38,37,0,37,37,37,,200.13264329987578,,,,,,,,,,,,,,,,,,,,,,195.90020979987457,197.13432749989443,197.13432749989443,197.13432749989443,197.13432749989443,197.13432749989443,197.13432749989443,197.13432749989443,0.0024115999694913626,None,0,,None,200.13264329987578,200.13264329987578,200.13264329987578,200.13264329987578,200.13264329987578,200.13264329987578,2.9998959000222385,200.63237899984233,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_19.png,pavo,type,darkblue,filler,1,F,2,Stim5_Set1,39,38,0,38,38,38,,204.79805029998533,,,,,,,,,,,,,,,,,,,,,,200.63237899984233,201.7834546000231,201.7834546000231,201.7834546000231,201.7834546000231,201.7834546000231,201.7834546000231,201.7834546000231,0.0029279999434947968,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_552.png,manzana,speak,yellow,nontarget,2,NT,2,Stim6_Set2,40,39,0,39,39,39,,209.48016719985753,,,,,,,,,,,,,,,,,,,,,,205.29792659985833,206.48081379989162,206.48081379989162,206.48081379989162,206.48081379989162,206.48081379989162,206.48081379989162,206.48081379989162,0.002642800100147724,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_552.png,manzana,speak,yellow,repeat,2,T,2,Stim6_Set2,41,40,0,40,40,40,,214.09564019995742,,,,,,,,,,,,,,,,,,,,,,209.9801643998362,211.09761629998684,211.09761629998684,211.09761629998684,211.09761629998684,211.09761629998684,211.09761629998684,211.09761629998684,0.002660199999809265,None,0,,None,,,,,,,,214.59563499991782,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_16.png,cazador,type,darkblue,filler,1,F,2,Stim6_Set1,42,41,0,41,41,41,,218.7143500999082,,,,,,,,,,,,,,,,,,,,,,214.59563499991782,215.71209309995174,215.71209309995174,215.71209309995174,215.71209309995174,215.71209309995174,215.71209309995174,215.71209309995174,0.0028923999052494764,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_446.png,cerdo,speak,yellow,nontarget,2,NT,2,Stim7_Set2,43,42,0,42,42,42,,223.37689019995742,,,,,,,,,,,,,,,,,,,,,,219.21175289992243,220.3776733998675,220.3776733998675,220.3776733998675,220.3776733998675,220.3776733998675,220.3776733998675,220.3776733998675,0.0026179999113082886,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_446.png,cerdo,speak,yellow,repeat,2,T,2,Stim7_Set2,44,43,0,43,43,43,,228.16399849997833,,,,,,,,,,,,,,,,,,,,,,223.87684599985369,225.15975979994982,225.15975979994982,225.15975979994982,225.15975979994982,225.15975979994982,225.15975979994982,225.15975979994982,0.0025707001332193613,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
