Column1;Trial_no;CorrectAns;SubjResponse;Notes;Backspace;Item_correct;Modality_Correct;Error_Corrected;Hesitation;RT;Duration;RespModal;KeyResp_keys;key1;key2;key3;key4;key5;key6;key7;key8;key9;key10;key11;key12;key13;key14;key15;RepSwitch;baseline;baseline_condition;micRespv2l1.started
330;330;cazador;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;1.64938E+14
331;331;pavo;pavo;NA;0;1;NA;NA;NA;NA;NA;type;['p', 'a', 'v', 'o'];0.916257300181314;0.964284700108692;1.18828750005923;1.39628330012783;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;1.654E+14
332;332;falda;falda;NA;0;1;NA;NA;NA;NA;NA;type;['f', 'a', 'l', 'd', 'a'];0.930371099850163;0.994345800019801;1.33037209999748;1.61851719999686;1.69948299997486;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;1.65863E+14
333;333;falda;falda;NA;0;1;NA;NA;NA;NA;NA;type;['f', 'a', 'l', 'd', 'a'];0.756150000030175;0.836171299917623;1.18822270003147;1.49215040006675;1.540147599997;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;1.66322E+14
334;334;puente;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;1;switch;1.66792E+14
335;335;cuerda;cuerda;NA;0;1;NA;NA;NA;NA;NA;type;['c', 'u', 'e', 'r', 'd', 'a'];0.899250500136986;1.07549880002625;1.18769269995391;1.34768090001307;1.45967240002938;1.55568240000866;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;switch;1.67254E+14
336;336;cuerda;cuerda;NA;0;1;NA;NA;NA;NA;NA;type;['c', 'u', 'e', 'r', 'd', 'a'];0.648547600023448;0.808714100159705;0.9046974000521;1.04803710011765;1.16024180012755;1.19223370007239;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;1.67721E+14
337;337;espalda;espalda;NA;0;1;NA;NA;NA;NA;NA;type;['e', 's', 'p', 'a', 'l', 'd', 'a'];0.709577000001445;0.885954299941659;0.982516100164503;1.07754039997235;1.14161520008929;1.25361220003106;1.46141430013813;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;1.68177E+14
338;338;tenedor;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;1.68632E+14
339;339;vaso;vaso;NA;0;1;NA;NA;NA;NA;NA;type;['v', 'a', 's', 'o'];0.643340500071645;0.707346300128847;0.899333300068974;1.07534340000711;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;1;switch;1.69093E+14
