"","Trial_no","CorrectAns","SubjResponse","Transcription","Notes","Backspace","Item_correct","Modality_Correct","Exclude","Experiment_part","RepSwitch","Error_Corrected","Hesitation","RespModal","RT","Duration","KeyResp_keys","key1","key2","key3","key4","key5","key6","key7","key8","key9","key10","key11","key12","key13","key14","key15","baseline","baseline_condition"
"240",240,"espalda","espalda","espalda","",0,"1",1,"0","Second","filler",NA,0,"speak",0.556368,0.543735,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat"
"241",241,"granja","granja","granja","tongue",0,"1",1,"0","Second","nontarget",NA,0,"speak",0.669922,0.415391,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat"
"242",242,"granja","granja","[type]","",0,"1",1,"0","Second","switch",NA,0,"type",0.7947129,0.9764218,"['g', 'r', 'a', 'n', 'j', 'a']",0.7947129,0.9866668,1.0987079,1.2591114,1.6113012,1.7711347,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"243",243,"mu?eca","mu?eca","[type]","",0,"1",1,"0","Second","filler",NA,0,"type",0.8525828,0.7846301,"['m', 'u', '?', 'e', 'c', 'a']",0.8525828,0.9965727,1.2845353,1.364069,1.5722045,1.6372129,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat"
"244",244,"falda","falda","[type]","",0,"1",1,"0","Second","nontarget",NA,0,"type",0.9422438,0.7045021,"['f', 'a', 'l', 'd', 'a']",0.9422438,1.0232854,1.3103831,1.5507295,1.6467459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"245",245,"falda","falda","falda","",0,"1",1,"0","Second","switch",NA,0,"speak",0.680477,0.398353,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"246",246,"caracol","caracol","caracol","tongue",0,"1",1,"0","Second","nontarget",NA,0,"speak",0.616512,0.425553,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch"
"247",247,"caracol","caracol","caracol","",0,"1",1,"0","Second","repeat",NA,0,"speak",0.550868,0.433399,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"248",248,"fresa","fresa","[type]","chair sound at the end",0,"1",1,"0","Second","filler",NA,0,"type",0.8170045,0.6071102,"['f', 'r', 'e', 's', 'a']",0.8170045,1.0079435,1.1679592,1.2479436,1.4241147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"249",249,"pintor","pintor","pintor","",0,"1",1,"0","Second","nontarget",NA,0,"speak",0.888,0.398909,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch"
"250",250,"pintor","pintor","pintor","mic sound end of the trial",0,"1",1,"0","Second","repeat",NA,0,"speak",0.528,0.44713,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"251",251,"puente","puente","[type]","",0,"1",1,"0","Second","filler",NA,0,"type",0.9226198,0.6872221,"['p', 'u', 'e', 'n', 't', 'e']",0.9226198,1.1463704,1.2585187,1.3384682,1.4978483,1.6098419,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"252",252,"pavo","pavo","pavo","",1,"0",1,"1","Second","filler",NA,0,"speak",1.141097,0.333,"['p', 'backspace']",0.7517314,1.7758625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"253",253,"mano","mano","mano","",0,"1",1,"0","Second","nontarget",NA,0,"speak",0.64224,0.371371,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat"
"254",254,"mano","mano","[type]","",0,"1",1,"0","Second","switch",NA,0,"type",0.9048773,0.2400299,"['m', 'a', 'n', 'o']",0.9048773,0.9688726,1.0649146,1.1449072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"255",255,"cerdo","cerdo","[type]","",0,"1",1,"0","Second","filler",NA,0,"type",0.7657414,0.5280105,"['c', 'e', 'r', 'd', 'o']",0.7657414,0.9097294,1.0697554,1.2137484,1.2937519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"256",256,"aguja","agujha","[type]","",0,"0",1,"1","Second","nontarget",NA,0,"type",0.7273515,0.7994133,"['a', 'g', 'u', 'j', 'h', 'a']",0.7273515,1.1600979,1.2065067,1.4148242,1.4307705,1.5267648,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat"
"257",257,"aguja","aguja","aguja","breath end of trial",0,"1",1,"1","Second","switch",NA,0,"speak",0.601465,0.495363,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"258",258,"manzana","manzana","manzana","",0,"1",1,"0","Second","filler",NA,0,"speak",0.512061,0.448646,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"259",259,"conejo","conejo ","conejo ","tongue",0,"0",1,"1","Second","nontarget",NA,0,"speak",0.577078,0.398742,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat"
"260",260,"conejo","conejo","[type]","",0,"1",1,"1","Second","switch",NA,0,"type",0.8430977,0.7039371,"['c', 'o', 'n', 'e', 'j', 'o']",0.8430977,0.9709965,1.179027,1.2750335,1.4670369,1.5470348,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"261",261,"miel","miel","[type]","",0,"1",1,"0","Second","nontarget",NA,0,"type",0.73367,0.4160336,"['m', 'i', 'e', 'l']",0.73367,0.8936669,1.0536646,1.1497036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat"
"262",262,"miel","miel","miel","",0,"1",1,"0","Second","switch",NA,0,"speak",0.476892,0.355704,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"263",263,"falda","falda","[type]","",0,"1",1,"0","Second","filler",NA,0,"type",0.9152759,0.7519229,"['f', 'a', 'l', 'd', 'a']",0.9152759,1.0106554,1.3145611,1.426585,1.6671988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"264",264,"goma","goma","goma","",0,"1",1,"0","Second","nontarget",NA,0,"speak",0.598342,0.341322,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch"
"265",265,"goma","goma","goma","",0,"1",1,"0","Second","repeat",NA,0,"speak",0.498967,0.363273,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"266",266,"caracol","carcaol","[type]","",0,"0",1,"1","Second","filler",NA,0,"type",0.8130156,1.136033,"['c', 'a', 'r', 'c', 'a', 'o', 'l']",0.8130156,0.9250188,1.0049786,1.1169798,1.2609893,1.8061095,1.9490486,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"267",267,"iglesia","iglesia","i...iglesia","i...iglesia",0,"1",1,"0","Second","nontarget",NA,1,"speak",1.176675,0.858632,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch"
"268",268,"iglesia","iglesia","iglesia","",0,"1",1,"0","Second","repeat",NA,0,"speak",0.610281,0.438324,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"269",269,"oreja","oreja","oreja","tongue",0,"1",1,"0","Second","nontarget",NA,0,"speak",0.594621,0.325379,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"270",270,"oreja","oreja","[type ]","",0,"1",1,"0","Second","switch",NA,0,"type",0.8915893,0.6086924,"['o', 'r', 'e', 'j', 'a']",0.8915893,1.0518483,1.2438546,1.3238436,1.5002817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"271",271,"cuerda","cuerda","cuerda","",0,"1",1,"0","Second","filler",NA,0,"speak",0.649,0.366131,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
