Filename;SubjResponse;RT;Duration (ms.);Modality_Correct;Item_Correct;Hesitation;Notes;Exclude;Column1;Column2
recording_V1L3_p050103_tr47_type_espalda;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr48_speak_vaso;vaso;727.6;538.552;;;;;;;
recording_V1L3_p050103_tr49_speak_manzana;manzana;867.928;663.707;;;;;;;
recording_V1L3_p050103_tr4_type_pierna;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr50_type_manzana;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr51_speak_escoba;escoba;861.725;657.504;;;;;;;
recording_V1L3_p050103_tr52_type_manzana;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr53_type_goma;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr54_speak_goma;goma;917.551;499.951;;;;;;;
recording_V1L3_p050103_tr55_speak_granja;goma;1158.222;547.093;;;;;;;
recording_V1L3_p050103_tr56_speak_aguja;aguja;1200;608.282;;;;tongue;;;
recording_V1L3_p050103_tr57_type_aguja;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr58_type_cadena;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr59_type_iglesia;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr5_speak_traje;traje;886.537;449.087;;;;tongue;;;
recording_V1L3_p050103_tr60_speak_iglesia;iglesia;709.289;664.793;;;;tongue;;;
recording_V1L3_p050103_tr61_type_pintor;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr62_speak_conejo;conejo;725.063;582.027;;;;;;;
recording_V1L3_p050103_tr63_speak_conejo;conejo;824;582.337;;;;;;;
recording_V1L3_p050103_tr64_speak_cerdo;cerdo;818.925;526.003;;;;;;;
recording_V1L3_p050103_tr65_type_caracol;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr66_speak_guante;guante;1032;497.153;;;;tongue;;;
recording_V1L3_p050103_tr67_speak_guante;guante;663.38;539.722;;;;;;;
recording_V1L3_p050103_tr68_speak_cartero;cartero;764.794;604.325;;;;tongue;;;
recording_V1L3_p050103_tr69_type_cartero;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr6_speak_traje;traje;951.046;528.484;;;;;;;
recording_V1L3_p050103_tr70_speak_cuerda;cuerda;803.418;512.357;;;;tongue;;;
recording_V1L3_p050103_tr71_type_tronco;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr72_type_oreja;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr73_type_oreja;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr74_speak_falda;falda;808.192;478.861;;;;tongue;;;
recording_V1L3_p050103_tr75_type_miel;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr76_type_miel;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr77_type_mano;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr78_speak_goma;goma;1062.698;496.229;;;;;;;
recording_V1L3_p050103_tr79_type_pierna;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr7_type_tenedor;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr80_type_pierna;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr81_type_pulpo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr82_speak_pulpo;pulpo;910.108;491.267;;;;;;;
recording_V1L3_p050103_tr83_type_aguja;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr84_speak_taza;taza;793.494;427.998;;;;tongue;;;
recording_V1L3_p050103_tr85_speak_taza;taza;1050.292;439.163;;;;;;;
recording_V1L3_p050103_tr86_speak_baño;baño;1089.991;544.612;;;;;;;
recording_V1L3_p050103_tr87_type_baño;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr88_speak_iglesia;iglesia;800.937;723.254;;;;;;;
recording_V1L3_p050103_tr89_type_bombero;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr8_speak_pulpo;pulpo;1159.463;521.041;;;;;;;
recording_V1L3_p050103_tr90_speak_bombero;bombero;640.705;562.178;;;;tongue;;;
recording_V1L3_p050103_tr91_type_guante;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr92_speak_conejo;conejo;864;614.29;;;;;;;
recording_V1L3_p050103_tr93_speak_vaca;vaca;887.777;456.223;;;;;;;
recording_V1L3_p050103_tr94_speak_vaca;vaca;717.428;450.572;;;;;;;
recording_V1L3_p050103_tr95_type_cartero;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr96_speak_oreja;oreja;832;584;;;;;;;
recording_V1L3_p050103_tr97_speak_regalo;regalo;1036.646;635.354;;;;tongue;;;
recording_V1L3_p050103_tr98_type_regalo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr99_type_camisa;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr9_speak_cazador;cazador;1116.043;676.112;;;;tongue;;;
