Trial_no;CorrectAns;SubjResponse;Notes;backspace;Item_correct;Modality_Correct;Error_Corrected;Hesitation;RT;Duration;RespModal;KeyResp_keys;key1;key2;key3;key4;key5;key6;key7;key8;key9;key10;key11;key12;key13;key14;key15;RepSwitch;baseline;baseline_condition;micRespv1l1.started
60;caracol;caracol;;0;;1;0;0;1.132497;0.495902;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;301.9625309
61;cuerda;cuerda;;0;;1;0;0;1.259886;1.2633287;type;['c', 'u', 'e', 'r', 'd', 'a'];1.259886;1.7392499;1.8992201;2.1232182;2.2999587;2.5232147;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;306.650763
62;aguja;aguja;;0;;1;0;0;1.715152;0.647746;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;switch;311.2900731
63;aguja;aguja;;0;;1;0;0;0.936;0.736246;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;315.8670789
64;granja;granja;;0;;1;0;0;1.4768208;0.8799894;type;['g', 'r', 'a', 'n', 'j', 'a'];1.4768208;1.6688076;1.7328101;2.1168228;2.3248066;2.3568102;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;320.5135608
65;manzana;manzana;;0;;1;0;0;0.959196;0.767482;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;1;switch;325.1599343
66;oreja;oreja;;0;;1;0;0;1.009;0.51035;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;329.7577614
67;oreja;oreja;;0;;1;0;0;0.750432;0.545568;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;334.4251047
68;tenedor;tenedor;;0;;1;0;0;1.2081318;1.1367205;type;['t', 'e', 'n', 'e', 'd', 'o', 'r'];1.2081318;1.3041359;1.5759755;1.656009;1.8799999;2.1995325;2.3448523;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;338.9743131
69;goma;goma;;0;;1;0;0;1.381853;0.462017;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;0;None;343.5791919
70;goma;goma;;0;;1;0;0;0.8016195;0.3989721;type;['g', 'o', 'm', 'a'];0.8016195;0.9456201;1.1205862;1.2005916;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;348.1492197
71;mano;mano;;0;;1;0;0;1.14496;0.42404;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;352.8512251
72;conejo;conejo;;0;;1;0;0;1.0039236;1.1204024;type;['c', 'o', 'n', 'e', 'j', 'o'];1.0039236;1.243989;1.5013621;1.6287567;1.9002511;2.124326;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;switch;357.5461585
73;conejo;conejo;;0;;1;0;0;0.8396935;0.9762942;type;['c', 'o', 'n', 'e', 'j', 'o'];0.8396935;0.9994571;1.2250071;1.3520219;1.6080181;1.8159877;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;362.0944043
74;cerdo;cerdo;;0;;1;0;0;0.949614;0.622266;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;366.7836627
75;falda;falda;;0;;1;0;0;1.541329;0.7523048;type;['f', 'a', 'l', 'd', 'a'];1.541329;1.781362;1.8773637;2.101374;2.2936338;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;1;switch;371.4090066
76;iglesia;iglesia;;0;;1;0;0;1.1440384;1.2801027;type;['i', 'g', 'l', 'e', 's', 'i', 'a'];1.1440384;1.4802499;1.848225;2.0401685;2.200164;2.2961644;2.4241411;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;376.0139277
