image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcomeFam.started,textboxInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,micFam.started,textFam.started,textFam.stopped,polygonWhiteFam.stopped,imageFam.stopped,micFam.clip,textBlankLoop.started,textBlankLoop.stopped,textboxEndFam.started,keyEndFam.started,keyEndFam.keys,keyEndFam.rt,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1_Fam/PICTURE_719.png,baño,0,29,29,29,,,,,,264.00351519999094,265.1217214000062,265.1217214000062,265.1217214000062,265.1217214000062,268.61529350001365,271.1155779999681,271.15028419997543,271.15028419997543,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h32.53.820.wav,271.15028419997543,271.65033739997307,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_8.png,pierna,0,30,30,31,,,,,,271.65033739997307,272.6851982999942,272.6851982999942,272.6851982999942,272.6851982999942,276.17871720000403,278.6790445999941,278.7137495999923,278.7137495999923,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h33.01.385.wav,278.7137495999923,279.21379760000855,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_48.png,bombero,0,31,31,22,,,,,,279.21379760000855,280.3112490000203,280.3112490000203,280.3112490000203,280.3112490000203,283.8047295999713,286.30511060002027,286.3398025999777,286.3398025999777,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h33.09.011.wav,286.3398025999777,286.8398078000173,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_599.png,nube,0,32,32,33,,,,,,286.8398078000173,287.9094077000045,287.9094077000045,287.9094077000045,287.9094077000045,291.40290499996627,293.90325929998653,293.9379633999779,293.9379633999779,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h33.16.609.wav,293.9379633999779,294.4380554999807,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_391.png,cadena,0,33,33,40,,,,,,294.4380554999807,295.52151920000324,295.52151920000324,295.52151920000324,295.52151920000324,299.0150277999928,301.51536640000995,301.5501024000114,301.5501024000114,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h33.24.221.wav,301.5501024000114,302.05015889997594,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_152.png,caracol,0,34,34,3,,,,,,302.05015889997594,303.0989303999813,303.0989303999813,303.0989303999813,303.0989303999813,306.5924192999955,309.0927270000102,309.1274845000007,309.1274845000007,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h33.31.798.wav,309.1274845000007,309.62760940002045,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_175.png,pintor,0,35,35,6,,,,,,309.62760940002045,310.7318465000135,310.7318465000135,310.7318465000135,310.7318465000135,314.22534040000755,316.7257625000202,316.7604560999898,316.7604560999898,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h33.39.432.wav,316.7604560999898,317.2604697999777,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_128.png,muñeca,0,36,36,0,,,,,,317.2604697999777,318.4203390000039,318.4203390000039,318.4203390000039,318.4203390000039,321.913919100014,324.4142583999783,324.44896140001947,324.44896140001947,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h33.47.120.wav,324.44896140001947,324.94896329997573,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_687.png,camisa,0,37,37,28,,,,,,324.94896329997573,326.06720039999345,326.06720039999345,326.06720039999345,326.06720039999345,329.5606662000064,332.0610343000153,332.09574540000176,332.09574540000176,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h33.54.767.wav,332.09574540000176,332.59579739999026,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_16.png,cazador,0,38,38,4,,,,,,332.59579739999026,333.72095450002234,333.72095450002234,333.72095450002234,333.72095450002234,337.21448989998316,339.71477249998134,339.749556499999,339.749556499999,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h34.02.421.wav,339.749556499999,340.2496049000183,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_728.png,pulpo,0,39,39,30,,,,,,340.2496049000183,341.35391369997524,341.35391369997524,341.35391369997524,341.35391369997524,344.84740979998605,347.34779789997265,347.38248789997306,347.38248789997306,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h34.10.053.wav,347.38248789997306,347.88254720001714,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_663.png,columna,0,40,40,43,,,,,,347.88254720001714,348.93822489999,348.93822489999,348.93822489999,348.93822489999,352.4317194999894,354.93208499997854,354.96678509999765,354.96678509999765,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h34.17.638.wav,354.96678509999765,355.46684880001703,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_498.png,taza,0,41,41,23,,,,,,355.46684880001703,356.6684030999895,356.6684030999895,356.6684030999895,356.6684030999895,360.1619737999863,362.6622471999726,362.6969628999941,362.6969628999941,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h34.25.367.wav,362.6969628999941,363.19705539999995,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_135.png,traje,0,42,42,1,,,,,,363.19705539999995,364.3013814999722,364.3013814999722,364.3013814999722,364.3013814999722,367.79485469998326,370.29519939998863,370.32990589999827,370.32990589999827,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h34.33.001.wav,370.32990589999827,370.82998560002306,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
